config,n,bleu4,meteor,rouge_l,cider,clipscore,seconds_per_image
generic-floor,200,0.021425939851887336,0.06680178974076247,0.32151988699364126,0.008790447160623981,0.5430452996864915,0.00
top1-verbatim,200,0.09782277815920361,0.1595064514826935,0.35224510671168313,0.46886498295642937,0.6719555074349046,0.24
retrieval-only,200,0.09782277815920361,0.1595064514826935,0.35224510671168313,0.46886498295642937,0.6719555074349046,0.28
+segmentation,200,0.08323490801394728,0.1566595147693847,0.35127328278735787,0.4221824314450355,0.6374340145848691,10.43
+object-detection,200,0.08655901158335315,0.15166928706286645,0.3363963131671532,0.40554452727689577,0.6470693487673997,2.75
all-seven,200,0.07443110427640284,0.15072864004047506,0.3368468457466662,0.39465501919288015,0.6340507461689413,11.87
