metric,before_augmentation,after_augmentation
n,53,53
bleu4,0.01188730979152761,0.018282950535631403
meteor,0.046889889679863905,0.08149721443573771
rouge_l,0.1544817422905518,0.18154750775867723
cider,0.1127541659357232,0.2879029456350254
