selection_mode,config,n,bleu4,meteor,rouge_l,cider,clipscore,seconds_per_image
top1,retrieval-only,200,0.09782277815920361,0.1595064514826935,0.35224510671168313,0.46886498295642937,0.6719555074349046,0.28
top1,+segmentation,200,0.08323490801394728,0.1566595147693847,0.35127328278735787,0.4221824314450355,0.6374340145848691,10.43
top1,+object-detection,200,0.08655901158335315,0.15166928706286645,0.3363963131671532,0.40554452727689577,0.6470693487673997,2.75
top1,all-seven,200,0.07443110427640284,0.15072864004047506,0.3368468457466662,0.39465501919288015,0.6340507461689413,11.87
top1,+random-crops (blind, no DETR),200,0.09524747277633501,0.16026895265138294,0.35882038678451317,0.47866708324130586,0.6533834148198366,0.99
medoid,retrieval-only,200,0.10608942630108667,0.1700613859737471,0.3798334939663303,0.4855562038128927,0.6772472448647022,0.47
medoid,+segmentation,200,0.12784284612613012,0.17796103490868573,0.3859174149624037,0.5368496989297358,0.6697067566215992,10.46
medoid,+object-detection,200,0.11580452987214644,0.16931097333534792,0.37050294092152514,0.5061210964178214,0.6583873111754656,3.46
medoid,all-seven,200,0.12559741066448224,0.17148657380848528,0.3769689188637383,0.512315517445259,0.662600882910192,12.84
